ID,Issue_Key,Resolution,Timespent,In_Progress_Minutes,Total_Effort_Minutes,Resolution_Time_Minutes,Story_Point
132730,BAM-3725,Fixed,1980,12315,22942,23111,NULL
132732,BAM-3723,Fixed,540,0,24743,34251,NULL
132733,BAM-3722,Fixed,30,0,0,24063,NULL
132745,BAM-3710,Fixed,60,20,20,18581,NULL
132746,BAM-3709,Fixed,90,2301,0,83594,NULL
132747,BAM-3708,Fixed,240,2495,2495,2511,NULL
132758,BAM-3695,Fixed,180,12962,12962,31851,3
132761,BAM-3691,Fixed,540,1671,11683,12963,NULL
132762,BAM-3690,Fixed,240,1279,1279,1280,NULL
132766,BAM-3685,Fixed,660,10780,19487,29870,5
132767,BAM-3683,Fixed,120,4114,12967,13973,8
132768,BAM-3682,Fixed,540,5873,11150,13986,NULL
132773,BAM-3677,Fixed,120,8,8,981,NULL
132777,BAM-3673,Fixed,720,0,4785,38267,NULL
132792,BAM-3656,Fixed,240,0,0,1,NULL
132793,BAM-3655,Fixed,120,0,0,1,NULL
132806,BAM-3639,Fixed,784,10112,11429,34174,NULL
132807,BAM-3637,Fixed,1261,17227,17227,38544,NULL
132811,BAM-3632,Fixed,840,4222,18687,18743,NULL
132813,BAM-3630,Fixed,480,4597,14468,18753,NULL
132814,BAM-3629,Fixed,600,511,7360,18552,NULL
132815,BAM-3628,Fixed,780,2768,11419,19899,NULL
132816,BAM-3627,Fixed,998,8962,17321,18478,NULL
132819,BAM-3624,Fixed,120,0,0,15866,NULL
132820,BAM-3623,Fixed,1230,7549,7549,8880,NULL
132821,BAM-3622,Fixed,570,1329,1329,1331,NULL
132822,BAM-3621,Fixed,300,6816,9987,19044,5
132823,BAM-3620,Fixed,660,6848,27241,31333,2
132824,BAM-3619,Fixed,240,0,8447,19378,NULL
132825,BAM-3618,Fixed,600,5133,6791,12598,NULL
132826,BAM-3617,Fixed,600,10561,17909,19451,NULL
132827,BAM-3616,Fixed,1,5632,14836,24276,5
132830,BAM-3612,Fixed,180,19848,0,171232,2
132844,BAM-3593,Fixed,60,0,4349,11714,NULL
132845,BAM-3591,Fixed,60,0,45,2883,NULL
132868,BAM-3553,Fixed,120,1000,1000,3349,NULL
132875,BAM-3525,Fixed,60,1,1,2616,NULL
132880,BAM-3519,Fixed,180,1093,1093,2659,NULL
132885,BAM-3514,Fixed,30,14,14,6062,NULL
132886,BAM-3513,Fixed,360,1494,1494,7548,NULL
132889,BAM-3509,Fixed,510,0,0,10448,NULL
132892,BAM-3506,Fixed,360,0,0,7926,NULL
132893,BAM-3505,Fixed,60,1170,1170,12762,NULL
132894,BAM-3504,Fixed,120,0,0,2558,NULL
132895,BAM-3503,Fixed,720,1629,1629,9547,NULL
132899,BAM-3499,Fixed,30,0,0,9356,NULL
132901,BAM-3497,Fixed,480,0,0,8423,NULL
132903,BAM-3493,Fixed,240,316,316,5738,NULL
132906,BAM-3480,Fixed,270,7513,7513,15138,NULL
132913,BAM-3472,Fixed,990,11689,11689,18992,NULL
132923,BAM-3454,Fixed,660,22654,22654,24191,NULL
132926,BAM-3445,Fixed,90,1,1,35993,NULL
132927,BAM-3444,Fixed,720,14238,14238,35903,NULL
132928,BAM-3443,Fixed,780,0,0,6259,NULL
132941,BAM-3412,Fixed,540,140,140,279,NULL
132944,BAM-3408,Fixed,60,0,0,46220,NULL
132945,BAM-3407,Fixed,180,196,196,1794,NULL
132946,BAM-3406,Fixed,60,32,32,2863,NULL
132948,BAM-3404,Fixed,60,68,68,1606,NULL
132950,BAM-3402,Fixed,240,370,370,1769,NULL
132951,BAM-3401,Fixed,240,0,0,1801,NULL
132958,BAM-3392,Fixed,360,4079,4079,11178,NULL
132960,BAM-3388,Fixed,120,28598,28598,28603,NULL
132977,BAM-3365,Fixed,480,7170,7170,10141,NULL
132987,BAM-3338,Fixed,1200,15781,15781,90744,NULL
132989,BAM-3336,Fixed,1680,4037,4037,40055,NULL
132994,BAM-3328,Fixed,600,6959,6959,6960,NULL
133001,BAM-3312,Fixed,1920,0,0,55263,NULL
133003,BAM-3307,Fixed,120,1126,1126,6940,NULL
133004,BAM-3302,Fixed,480,9970,9970,60636,NULL
133005,BAM-3301,Fixed,300,320,320,91855,NULL
133007,BAM-3299,Fixed,480,6971,6971,7395,NULL
133008,BAM-3298,Fixed,240,1221,1221,60647,NULL
133009,BAM-3297,Fixed,240,7206,7206,25942,NULL
133010,BAM-3296,Fixed,240,1418,1418,17486,NULL
133011,BAM-3295,Fixed,60,29,29,30,NULL
133015,BAM-3291,Fixed,120,1185,1185,1185,NULL
133016,BAM-3290,Fixed,1440,7513,7513,52677,NULL
133017,BAM-3289,Fixed,2400,23479,23479,28984,NULL
133018,BAM-3288,Fixed,240,0,0,69083,NULL
133019,BAM-3287,Fixed,1920,84371,84371,214404,NULL
133020,BAM-3286,Fixed,120,155,155,156,NULL
133021,BAM-3285,Fixed,240,0,0,69117,NULL
133025,BAM-3280,Fixed,780,24632,24632,105134,NULL
133026,BAM-3279,Fixed,360,1245,1245,64732,NULL
133030,BAM-3274,Fixed,360,16200,16200,55052,NULL
133032,BAM-3266,Fixed,480,9327,9327,62289,NULL
133033,BAM-3264,Fixed,720,15158,15158,105325,NULL
133034,BAM-3263,Fixed,120,177,177,106670,NULL
133035,BAM-3262,Fixed,240,4253,4253,112106,NULL
133036,BAM-3261,Fixed,480,13997,13997,96196,NULL
133038,BAM-3259,Fixed,30,0,0,4051,NULL
133041,BAM-3256,Fixed,240,2476,2476,2647,NULL
133050,BAM-3246,Fixed,1920,20540,20540,27484,NULL
133063,BAM-3230,Fixed,120,175,175,21738,NULL
133066,BAM-3224,Fixed,795,7242,7242,7243,NULL
133075,BAM-3207,Fixed,480,0,5772,157164,NULL
133096,BAM-3179,Fixed,360,0,0,32981,NULL
133100,BAM-3174,Fixed,720,2910,2910,2910,NULL
133115,BAM-3154,Fixed,360,38982,38982,46279,NULL
133148,BAM-3107,Fixed,435,11586,11586,186307,NULL
133160,BAM-3094,Fixed,6720,79230,79230,81040,NULL
133175,BAM-3078,Fixed,720,0,0,1992815,NULL
133178,BAM-3075,Fixed,480,1888,1888,100707,NULL
133179,BAM-3074,Fixed,2220,19081,19081,19096,NULL
133192,BAM-3054,Fixed,360,30360,30360,107331,NULL
133238,BAM-2983,Fixed,50,0,0,293790,NULL
133261,BAM-2957,Fixed,120,1097,1097,309284,NULL
133328,BAM-2845,Fixed,240,7381,26001,761781,NULL
133345,BAM-2825,Fixed,240,40005,40005,212146,NULL
133440,BAM-2656,Fixed,180,19130,19130,21918,NULL
133488,BAM-2560,Fixed,120,9980,9980,376863,NULL
133505,BAM-2542,Fixed,1020,1417,19750,926515,NULL
133508,BAM-2539,Fixed,240,48953,48953,302129,NULL
133597,BAM-2429,Fixed,120,0,0,2089,NULL
133630,BAM-2390,Fixed,240,2452,2452,20134,NULL
133632,BAM-2388,Fixed,120,0,0,21022,NULL
133636,BAM-2384,Fixed,180,0,0,9900,NULL
133638,BAM-2382,Fixed,360,356,356,10068,NULL
133639,BAM-2381,Fixed,480,2659,2659,13140,NULL
133646,BAM-2372,Fixed,60,106,106,8269,NULL
133649,BAM-2368,Fixed,480,1425,1425,1425,NULL
133651,BAM-2366,Fixed,120,111,111,348,NULL
133654,BAM-2363,Fixed,660,6802,6802,8273,NULL
133659,BAM-2358,Fixed,120,104,104,10562,NULL
133664,BAM-2353,Fixed,960,4184,4184,6058,NULL
133667,BAM-2349,Fixed,120,166,11682,573627,NULL
133668,BAM-2348,Fixed,45,0,0,8493,NULL
133669,BAM-2346,Fixed,60,288,288,300,NULL
133673,BAM-2330,Fixed,120,0,0,7178,NULL
133675,BAM-2328,Fixed,360,45988,45988,380644,NULL
133676,BAM-2327,Fixed,180,0,0,42022,NULL
133677,BAM-2326,Fixed,181,0,0,1447,NULL
133678,BAM-2325,Fixed,150,0,0,301,NULL
133680,BAM-2322,Fixed,300,1445,1445,2891,NULL
133681,BAM-2321,Fixed,180,0,0,1390,NULL
133685,BAM-2315,Fixed,840,8637,8637,47479,NULL
133686,BAM-2314,Fixed,30,0,0,5591,NULL
133691,BAM-2308,Fixed,480,0,0,4701,NULL
133693,BAM-2305,Fixed,420,83664,83664,106475,NULL
